,PD9002,PD9004,PD9009,PD9063,PD9064,PD9065,PD9067,PD9193,PD9464,PD9467,PD9539,PD9541,PD9544,PD9567,PD9568,PD9569,PD9570,PD9571,PD9572,PD9573,PD9574,PD9575,PD9576,PD9577,PD9578,PD9579,PD9581,PD9582c,PD9584,PD9585,PD9589,PD9591,PD9592,PD9593,PD9595,PD9597,PD9599,PD9600,PD9604,PD9605,PD9606,PD9694,PD9696,PD9702,PD9752,PD9754,PD9755,PD9756,PD9759,PD9760,PD9761,PD9842,PD9843,PD9844,PD9845,PD9847
61,40.0,73.0,49.0,25.0,97.0,8.0,9.0,5.0,25.0,12.0,15.0,18.0,6.0,27.0,212.0,23.0,4.0,35.0,16.0,3.0,7.0,54.0,150.0,6.0,2.0,6.0,5.0,11.0,10.0,66.0,6.0,9.0,54.0,6.0,68.0,4.0,14.0,17.0,24.0,14.0,5.0,7.0,49.0,48.0,17.0,13.0,10.0,13.0,10.0,20.0,12.0,18.0,13.0,2.0,18.0,10.0
62,41.0,46.0,30.0,5.0,75.0,4.0,4.0,5.0,18.0,2.0,14.0,10.0,4.0,22.0,159.0,6.0,4.0,31.0,19.0,8.0,5.0,31.0,100.0,8.0,1.0,5.0,6.0,11.0,15.0,52.0,4.0,5.0,41.0,10.0,48.0,2.0,10.0,10.0,12.0,18.0,3.0,9.0,31.0,38.0,9.0,8.0,5.0,6.0,7.0,21.0,5.0,7.0,9.0,0.0,8.0,13.0
63,101.0,150.0,67.0,26.0,259.0,16.0,18.0,11.0,63.0,26.0,37.0,29.0,16.0,40.0,521.0,17.0,9.0,66.0,41.0,20.0,15.0,100.0,368.0,21.0,13.0,21.0,23.0,34.0,26.0,163.0,14.0,16.0,146.0,20.0,151.0,16.0,35.0,28.0,97.0,44.0,13.0,10.0,88.0,108.0,32.0,21.0,18.0,16.0,32.0,52.0,25.0,45.0,31.0,2.0,34.0,32.0
64,180.0,167.0,93.0,57.0,227.0,34.0,17.0,26.0,84.0,53.0,49.0,50.0,32.0,70.0,461.0,57.0,24.0,102.0,93.0,34.0,40.0,173.0,296.0,39.0,25.0,42.0,54.0,37.0,76.0,139.0,27.0,31.0,147.0,25.0,143.0,25.0,78.0,38.0,494.0,65.0,31.0,20.0,79.0,114.0,65.0,36.0,46.0,46.0,49.0,80.0,53.0,91.0,45.0,7.0,76.0,61.0
65,72.0,84.0,38.0,15.0,109.0,15.0,7.0,8.0,28.0,14.0,29.0,10.0,8.0,24.0,192.0,22.0,7.0,39.0,19.0,11.0,13.0,57.0,150.0,15.0,7.0,15.0,15.0,19.0,15.0,94.0,11.0,9.0,63.0,12.0,97.0,10.0,24.0,6.0,140.0,28.0,10.0,15.0,38.0,63.0,23.0,11.0,17.0,11.0,9.0,23.0,11.0,21.0,14.0,1.0,33.0,32.0
66,129.0,105.0,63.0,34.0,131.0,23.0,25.0,18.0,58.0,30.0,50.0,21.0,19.0,44.0,305.0,33.0,17.0,85.0,62.0,34.0,22.0,91.0,228.0,28.0,21.0,24.0,24.0,15.0,44.0,115.0,24.0,21.0,72.0,32.0,116.0,10.0,37.0,16.0,408.0,38.0,19.0,19.0,72.0,65.0,27.0,33.0,25.0,18.0,33.0,57.0,27.0,44.0,38.0,10.0,45.0,37.0
67,201.0,143.0,100.0,55.0,197.0,35.0,20.0,24.0,79.0,37.0,77.0,43.0,29.0,71.0,475.0,52.0,24.0,86.0,74.0,31.0,42.0,153.0,385.0,31.0,30.0,44.0,41.0,29.0,61.0,181.0,31.0,30.0,124.0,43.0,181.0,21.0,70.0,52.0,220.0,68.0,29.0,20.0,106.0,123.0,50.0,36.0,38.0,52.0,49.0,95.0,51.0,66.0,43.0,10.0,74.0,57.0
68,79.0,87.0,59.0,20.0,100.0,13.0,12.0,8.0,29.0,14.0,18.0,20.0,9.0,26.0,239.0,17.0,4.0,58.0,28.0,13.0,8.0,47.0,152.0,9.0,4.0,15.0,10.0,13.0,20.0,69.0,13.0,8.0,59.0,15.0,56.0,6.0,17.0,25.0,339.0,14.0,8.0,13.0,36.0,70.0,23.0,13.0,11.0,19.0,18.0,39.0,8.0,22.0,20.0,4.0,28.0,21.0
69,73.0,117.0,50.0,19.0,145.0,11.0,9.0,6.0,25.0,13.0,19.0,10.0,8.0,14.0,250.0,8.0,6.0,45.0,17.0,10.0,9.0,58.0,268.0,12.0,10.0,6.0,11.0,9.0,21.0,116.0,7.0,16.0,105.0,7.0,108.0,9.0,29.0,20.0,129.0,25.0,7.0,11.0,63.0,80.0,16.0,15.0,10.0,13.0,6.0,20.0,16.0,29.0,13.0,3.0,23.0,12.0
70,81.0,93.0,37.0,21.0,89.0,15.0,13.0,13.0,40.0,15.0,16.0,17.0,14.0,21.0,187.0,16.0,8.0,60.0,24.0,10.0,9.0,71.0,156.0,14.0,8.0,11.0,9.0,15.0,20.0,76.0,11.0,10.0,61.0,32.0,75.0,2.0,26.0,18.0,451.0,21.0,11.0,5.0,44.0,69.0,20.0,14.0,11.0,28.0,12.0,34.0,17.0,31.0,22.0,8.0,31.0,22.0
