"","1","2","3","4","5","6","7","8","9","10","11","12"
"PD11399",0.0369900357210002,0.0615247226922354,0.191248354953939,0.0829573228050385,0.0860594096634706,0.136256815190825,0.102979883436736,0.0931096070689979,0.024581688287272,0.0479883436736229,0.100723820266967,0.0355799962398947
"PD11402",0.0871804417969719,0.0555348721767188,0.153077686770911,0.0842020352444775,0.0566517746339042,0.0719161082154381,0.109890791759742,0.150099280218416,0.0186770910896004,0.0637254901960784,0.122549019607843,0.0264954082898982
"PD11462",0.0827852774893273,0.0675550940348448,0.175550940348448,0.0554401753778701,0.0564785969770393,0.104592131071882,0.102515287873543,0.129514249451944,0.0274027922003,0.0762086073612553,0.0779393100265374,0.0440175377870082
"PD11464",0.0358844659482443,0.0517190821787259,0.0706326515651345,0.0341250641448574,0.237335972436038,0.071512352466828,0.020269774943186,0.0374239425262078,0.0127923172787919,0.0574371380397332,0.0552378857854996,0.315629352686753
"PD11465",0.0377490671504211,0.0825700927687565,0.049739687034497,0.0350500715307582,0.221900210905122,0.0438992374968659,0.0538545492087371,0.0477486246921228,0.0176614604073566,0.0715086353111219,0.0404923085999145,0.297826054894326
"PD11740",0.0919323266219239,0.05292225950783,0.144365212527964,0.0848014541387025,0.0566974272930649,0.102418903803132,0.143526286353468,0.115841722595078,0.0206236017897092,0.0759927293064877,0.0948685682326622,0.0160095078299776
"PD11741",0.0662224415926291,0.0884336952945048,0.126439618295492,0.0375946034879895,0.0627673576834485,0.223675551168147,0.113112866074367,0.0760941099045739,0.0341395195788088,0.063754524514643,0.0420368542283646,0.0657288581770319
"PD11742",0.0496338294353886,0.183156154027876,0.0313489251122136,0.0579966926529648,0.0754311363099457,0.0832270257500591,0.0725962674226317,0.0822348216394992,0.0251122135601228,0.14020789038507,0.0682022206472951,0.130852823056934
"PD11743",0.0825146372928451,0.12985015381562,0.117346432469981,0.0735834077602461,0.045301180907016,0.0843008831993649,0.0938275280341371,0.092338989778704,0.0313089213059442,0.113476233005855,0.102163342264563,0.0339882901657239
"PD11744",0.0709972394755003,0.0891131815044858,0.151742581090407,0.0948067632850241,0.0316597653554175,0.0896307798481712,0.106711525189786,0.139837819185645,0.0249309868875086,0.0735852311939268,0.114475500345066,0.0125086266390614
"PD11745",0.109245980008692,0.131084311169057,0.0962081703607127,0.0336266840504129,0.0786071273359409,0.162700999565406,0.0857779226423294,0.0779552368535419,0.0215667101260322,0.0968600608431117,0.0450347674923946,0.0613320295523685
"PD11748",0.0687635819716084,0.235472582056275,0.0427708633195044,0.0744362599836311,0.0269381649874411,0.0797702706516524,0.0292241695594502,0.0587728953235684,0.0382835210114865,0.240213924872294,0.0508142127395366,0.0545395535235515
