,ind,variable,value
12512,32,PD13753,59.0
12513,33,PD13753,41.0
12514,34,PD13753,142.0
12515,35,PD13753,47.0
12516,36,PD13753,75.0
12517,37,PD13753,42.0
12518,38,PD13753,73.0
12519,39,PD13753,74.0
12520,40,PD13753,76.0
12521,41,PD13753,45.0
12522,42,PD13753,96.0
12523,43,PD13753,45.0
12524,44,PD13753,1363.0
12525,45,PD13753,278.0
12526,46,PD13753,168.0
12527,47,PD13753,722.0
12528,48,PD13753,18.0
12529,49,PD13753,24.0
12530,50,PD13753,25.0
12531,51,PD13753,37.0
12532,52,PD13753,10.0
12533,53,PD13753,14.0
12534,54,PD13753,23.0
12535,55,PD13753,26.0
12536,56,PD13753,11.0
12537,57,PD13753,10.0
12538,58,PD13753,13.0
12539,59,PD13753,17.0
12540,60,PD13753,40.0
12541,61,PD13753,17.0
12542,62,PD13753,11.0
12543,63,PD13753,31.0
12544,64,PD13753,50.0
12545,65,PD13753,21.0
12546,66,PD13753,37.0
12547,67,PD13753,56.0
12548,68,PD13753,20.0
12549,69,PD13753,21.0
12550,70,PD13753,20.0
12551,71,PD13753,17.0
12552,72,PD13753,17.0
12553,73,PD13753,11.0
12554,74,PD13753,11.0
12555,75,PD13753,25.0
12556,76,PD13753,22.0
12557,77,PD13753,22.0
12558,78,PD13753,20.0
12559,79,PD13753,25.0
12560,80,PD13753,21.0
12561,81,PD13753,5.0
12562,82,PD13753,12.0
12563,83,PD13753,13.0
12564,84,PD13753,8.0
12565,85,PD13753,9.0
12566,86,PD13753,13.0
12567,87,PD13753,15.0
12568,88,PD13753,3.0
12569,89,PD13753,2.0
12570,90,PD13753,7.0
12571,91,PD13753,5.0
12572,92,PD13753,15.0
12573,93,PD13753,5.0
12574,94,PD13753,16.0
12575,95,PD13753,26.0
12576,0,PD13754,39.0
12577,1,PD13754,38.0
12578,2,PD13754,6.0
12579,3,PD13754,16.0
12580,4,PD13754,28.0
12581,5,PD13754,15.0
12582,6,PD13754,7.0
12583,7,PD13754,22.0
12584,8,PD13754,28.0
12585,9,PD13754,30.0
12586,10,PD13754,2.0
12587,11,PD13754,29.0
12588,12,PD13754,37.0
12589,13,PD13754,41.0
12590,14,PD13754,6.0
12591,15,PD13754,66.0
12592,16,PD13754,21.0
12593,17,PD13754,24.0
12594,18,PD13754,4.0
12595,19,PD13754,25.0
12596,20,PD13754,13.0
12597,21,PD13754,12.0
12598,22,PD13754,0.0
12599,23,PD13754,19.0
12600,24,PD13754,10.0
12601,25,PD13754,10.0
12602,26,PD13754,2.0
12603,27,PD13754,12.0
12604,28,PD13754,28.0
12605,29,PD13754,20.0
12606,30,PD13754,2.0
12607,31,PD13754,53.0
12608,32,PD13754,39.0
12609,33,PD13754,23.0
12610,34,PD13754,130.0
12611,35,PD13754,28.0
12612,36,PD13754,36.0
12613,37,PD13754,32.0
12614,38,PD13754,85.0
12615,39,PD13754,38.0
12616,40,PD13754,33.0
12617,41,PD13754,46.0
12618,42,PD13754,101.0
12619,43,PD13754,33.0
12620,44,PD13754,51.0
12621,45,PD13754,47.0
12622,46,PD13754,50.0
12623,47,PD13754,33.0
12624,48,PD13754,32.0
12625,49,PD13754,15.0
12626,50,PD13754,28.0
12627,51,PD13754,43.0
12628,52,PD13754,13.0
12629,53,PD13754,14.0
12630,54,PD13754,11.0
12631,55,PD13754,17.0
12632,56,PD13754,5.0
12633,57,PD13754,13.0
12634,58,PD13754,8.0
12635,59,PD13754,12.0
12636,60,PD13754,48.0
12637,61,PD13754,10.0
12638,62,PD13754,4.0
12639,63,PD13754,26.0
12640,64,PD13754,68.0
12641,65,PD13754,24.0
12642,66,PD13754,29.0
12643,67,PD13754,63.0
12644,68,PD13754,20.0
12645,69,PD13754,16.0
12646,70,PD13754,15.0
12647,71,PD13754,20.0
12648,72,PD13754,38.0
12649,73,PD13754,25.0
12650,74,PD13754,22.0
12651,75,PD13754,45.0
12652,76,PD13754,59.0
12653,77,PD13754,21.0
12654,78,PD13754,20.0
12655,79,PD13754,60.0
12656,80,PD13754,14.0
12657,81,PD13754,13.0
12658,82,PD13754,4.0
12659,83,PD13754,16.0
12660,84,PD13754,6.0
12661,85,PD13754,4.0
12662,86,PD13754,11.0
12663,87,PD13754,15.0
12664,88,PD13754,5.0
12665,89,PD13754,7.0
12666,90,PD13754,4.0
12667,91,PD13754,10.0
12668,92,PD13754,17.0
12669,93,PD13754,7.0
12670,94,PD13754,17.0
12671,95,PD13754,42.0
12672,0,PD13755,29.0
12673,1,PD13755,16.0
12674,2,PD13755,8.0
12675,3,PD13755,16.0
12676,4,PD13755,13.0
12677,5,PD13755,12.0
12678,6,PD13755,6.0
12679,7,PD13755,25.0
12680,8,PD13755,18.0
12681,9,PD13755,14.0
12682,10,PD13755,6.0
12683,11,PD13755,16.0
12684,12,PD13755,19.0
12685,13,PD13755,20.0
12686,14,PD13755,3.0
12687,15,PD13755,25.0
12688,16,PD13755,11.0
12689,17,PD13755,6.0
12690,18,PD13755,1.0
12691,19,PD13755,14.0
12692,20,PD13755,5.0
12693,21,PD13755,6.0
12694,22,PD13755,8.0
12695,23,PD13755,18.0
12696,24,PD13755,10.0
12697,25,PD13755,7.0
12698,26,PD13755,1.0
12699,27,PD13755,2.0
12700,28,PD13755,11.0
12701,29,PD13755,10.0
12702,30,PD13755,2.0
12703,31,PD13755,34.0
12704,32,PD13755,49.0
12705,33,PD13755,28.0
12706,34,PD13755,118.0
12707,35,PD13755,23.0
12708,36,PD13755,35.0
12709,37,PD13755,41.0
12710,38,PD13755,68.0
12711,39,PD13755,43.0
12712,40,PD13755,36.0
12713,41,PD13755,34.0
12714,42,PD13755,78.0
12715,43,PD13755,26.0
12716,44,PD13755,53.0
12717,45,PD13755,51.0
12718,46,PD13755,34.0
12719,47,PD13755,49.0
12720,48,PD13755,20.0
12721,49,PD13755,30.0
12722,50,PD13755,17.0
12723,51,PD13755,27.0
12724,52,PD13755,10.0
12725,53,PD13755,12.0
12726,54,PD13755,15.0
12727,55,PD13755,11.0
12728,56,PD13755,8.0
12729,57,PD13755,11.0
12730,58,PD13755,9.0
12731,59,PD13755,17.0
12732,60,PD13755,25.0
12733,61,PD13755,15.0
12734,62,PD13755,5.0
12735,63,PD13755,22.0
12736,64,PD13755,65.0
12737,65,PD13755,22.0
12738,66,PD13755,35.0
12739,67,PD13755,55.0
12740,68,PD13755,14.0
12741,69,PD13755,7.0
12742,70,PD13755,11.0
12743,71,PD13755,6.0
12744,72,PD13755,30.0
12745,73,PD13755,14.0
12746,74,PD13755,21.0
12747,75,PD13755,26.0
12748,76,PD13755,23.0
12749,77,PD13755,19.0
12750,78,PD13755,13.0
12751,79,PD13755,37.0
12752,80,PD13755,9.0
12753,81,PD13755,6.0
12754,82,PD13755,10.0
12755,83,PD13755,9.0
12756,84,PD13755,3.0
12757,85,PD13755,3.0
12758,86,PD13755,13.0
12759,87,PD13755,12.0
12760,88,PD13755,1.0
12761,89,PD13755,4.0
12762,90,PD13755,5.0
12763,91,PD13755,2.0
12764,92,PD13755,9.0
12765,93,PD13755,8.0
12766,94,PD13755,6.0
12767,95,PD13755,26.0
12768,0,PD13756,49.0
12769,1,PD13756,38.0
12770,2,PD13756,5.0
12771,3,PD13756,22.0
12772,4,PD13756,38.0
12773,5,PD13756,19.0
12774,6,PD13756,3.0
12775,7,PD13756,24.0
12776,8,PD13756,26.0
12777,9,PD13756,16.0
12778,10,PD13756,4.0
12779,11,PD13756,16.0
12780,12,PD13756,32.0
12781,13,PD13756,38.0
12782,14,PD13756,9.0
12783,15,PD13756,45.0
12784,16,PD13756,14.0
12785,17,PD13756,9.0
12786,18,PD13756,4.0
12787,19,PD13756,18.0
12788,20,PD13756,7.0
12789,21,PD13756,7.0
12790,22,PD13756,3.0
12791,23,PD13756,10.0
12792,24,PD13756,6.0
12793,25,PD13756,13.0
12794,26,PD13756,2.0
12795,27,PD13756,7.0
12796,28,PD13756,17.0
12797,29,PD13756,19.0
12798,30,PD13756,3.0
12799,31,PD13756,29.0
12800,32,PD13756,46.0
12801,33,PD13756,21.0
12802,34,PD13756,113.0
12803,35,PD13756,34.0
12804,36,PD13756,39.0
12805,37,PD13756,54.0
12806,38,PD13756,62.0
12807,39,PD13756,56.0
12808,40,PD13756,39.0
12809,41,PD13756,31.0
12810,42,PD13756,95.0
12811,43,PD13756,40.0
12812,44,PD13756,49.0
12813,45,PD13756,39.0
12814,46,PD13756,40.0
12815,47,PD13756,33.0
12816,48,PD13756,14.0
12817,49,PD13756,19.0
12818,50,PD13756,14.0
12819,51,PD13756,25.0
12820,52,PD13756,7.0
12821,53,PD13756,16.0
12822,54,PD13756,15.0
12823,55,PD13756,9.0
12824,56,PD13756,5.0
12825,57,PD13756,12.0
12826,58,PD13756,10.0
12827,59,PD13756,7.0
12828,60,PD13756,21.0
12829,61,PD13756,11.0
12830,62,PD13756,3.0
12831,63,PD13756,24.0
12832,64,PD13756,44.0
12833,65,PD13756,18.0
12834,66,PD13756,41.0
12835,67,PD13756,59.0
12836,68,PD13756,16.0
12837,69,PD13756,14.0
12838,70,PD13756,24.0
12839,71,PD13756,16.0
12840,72,PD13756,22.0
12841,73,PD13756,13.0
12842,74,PD13756,15.0
12843,75,PD13756,27.0
12844,76,PD13756,33.0
12845,77,PD13756,16.0
12846,78,PD13756,21.0
12847,79,PD13756,25.0
12848,80,PD13756,8.0
12849,81,PD13756,8.0
12850,82,PD13756,3.0
12851,83,PD13756,11.0
12852,84,PD13756,5.0
12853,85,PD13756,4.0
12854,86,PD13756,5.0
12855,87,PD13756,15.0
12856,88,PD13756,0.0
12857,89,PD13756,5.0
12858,90,PD13756,6.0
12859,91,PD13756,3.0
12860,92,PD13756,8.0
12861,93,PD13756,6.0
12862,94,PD13756,14.0
12863,95,PD13756,23.0
12864,0,PD13757,16.0
12865,1,PD13757,14.0
12866,2,PD13757,2.0
12867,3,PD13757,4.0
12868,4,PD13757,15.0
12869,5,PD13757,10.0
12870,6,PD13757,1.0
12871,7,PD13757,8.0
12872,8,PD13757,12.0
12873,9,PD13757,9.0
12874,10,PD13757,5.0
12875,11,PD13757,13.0
12876,12,PD13757,24.0
12877,13,PD13757,13.0
12878,14,PD13757,6.0
12879,15,PD13757,34.0
12880,16,PD13757,10.0
12881,17,PD13757,10.0
12882,18,PD13757,0.0
12883,19,PD13757,12.0
12884,20,PD13757,6.0
12885,21,PD13757,5.0
12886,22,PD13757,2.0
12887,23,PD13757,15.0
12888,24,PD13757,3.0
12889,25,PD13757,5.0
12890,26,PD13757,2.0
12891,27,PD13757,4.0
12892,28,PD13757,67.0
12893,29,PD13757,12.0
12894,30,PD13757,3.0
12895,31,PD13757,78.0
12896,32,PD13757,21.0
12897,33,PD13757,10.0
12898,34,PD13757,61.0
12899,35,PD13757,16.0
12900,36,PD13757,20.0
12901,37,PD13757,17.0
12902,38,PD13757,41.0
12903,39,PD13757,21.0
12904,40,PD13757,19.0
12905,41,PD13757,9.0
12906,42,PD13757,46.0
12907,43,PD13757,23.0
12908,44,PD13757,164.0
12909,45,PD13757,60.0
12910,46,PD13757,63.0
12911,47,PD13757,98.0
12912,48,PD13757,11.0
12913,49,PD13757,8.0
12914,50,PD13757,5.0
12915,51,PD13757,24.0
12916,52,PD13757,3.0
12917,53,PD13757,6.0
12918,54,PD13757,2.0
12919,55,PD13757,8.0
12920,56,PD13757,2.0
12921,57,PD13757,5.0
12922,58,PD13757,5.0
12923,59,PD13757,4.0
12924,60,PD13757,33.0
12925,61,PD13757,4.0
12926,62,PD13757,4.0
12927,63,PD13757,11.0
12928,64,PD13757,22.0
12929,65,PD13757,6.0
12930,66,PD13757,10.0
12931,67,PD13757,25.0
12932,68,PD13757,5.0
12933,69,PD13757,7.0
12934,70,PD13757,4.0
12935,71,PD13757,10.0
12936,72,PD13757,15.0
12937,73,PD13757,9.0
12938,74,PD13757,9.0
12939,75,PD13757,16.0
12940,76,PD13757,9.0
12941,77,PD13757,5.0
12942,78,PD13757,6.0
12943,79,PD13757,11.0
12944,80,PD13757,3.0
12945,81,PD13757,3.0
12946,82,PD13757,1.0
12947,83,PD13757,5.0
12948,84,PD13757,0.0
12949,85,PD13757,6.0
12950,86,PD13757,3.0
12951,87,PD13757,10.0
12952,88,PD13757,5.0
12953,89,PD13757,2.0
12954,90,PD13757,0.0
12955,91,PD13757,6.0
12956,92,PD13757,9.0
12957,93,PD13757,3.0
12958,94,PD13757,7.0
12959,95,PD13757,11.0
12960,0,PD13758,28.0
12961,1,PD13758,30.0
12962,2,PD13758,6.0
12963,3,PD13758,30.0
12964,4,PD13758,17.0
12965,5,PD13758,24.0
12966,6,PD13758,4.0
12967,7,PD13758,16.0
12968,8,PD13758,33.0
12969,9,PD13758,17.0
12970,10,PD13758,6.0
12971,11,PD13758,15.0
12972,12,PD13758,34.0
12973,13,PD13758,34.0
12974,14,PD13758,5.0
12975,15,PD13758,44.0
12976,16,PD13758,21.0
12977,17,PD13758,14.0
12978,18,PD13758,6.0
12979,19,PD13758,24.0
12980,20,PD13758,9.0
12981,21,PD13758,13.0
12982,22,PD13758,11.0
12983,23,PD13758,15.0
12984,24,PD13758,8.0
12985,25,PD13758,12.0
12986,26,PD13758,0.0
12987,27,PD13758,8.0
12988,28,PD13758,14.0
12989,29,PD13758,19.0
12990,30,PD13758,2.0
12991,31,PD13758,30.0
12992,32,PD13758,42.0
12993,33,PD13758,38.0
12994,34,PD13758,91.0
12995,35,PD13758,41.0
12996,36,PD13758,49.0
12997,37,PD13758,53.0
12998,38,PD13758,66.0
12999,39,PD13758,55.0
13000,40,PD13758,50.0
13001,41,PD13758,40.0
13002,42,PD13758,59.0
13003,43,PD13758,36.0
13004,44,PD13758,51.0
13005,45,PD13758,67.0
13006,46,PD13758,39.0
13007,47,PD13758,44.0
13008,48,PD13758,25.0
13009,49,PD13758,34.0
13010,50,PD13758,26.0
13011,51,PD13758,24.0
13012,52,PD13758,16.0
13013,53,PD13758,13.0
13014,54,PD13758,12.0
13015,55,PD13758,20.0
13016,56,PD13758,8.0
13017,57,PD13758,13.0
13018,58,PD13758,9.0
13019,59,PD13758,12.0
13020,60,PD13758,28.0
13021,61,PD13758,13.0
13022,62,PD13758,10.0
13023,63,PD13758,29.0
13024,64,PD13758,71.0
13025,65,PD13758,26.0
13026,66,PD13758,26.0
13027,67,PD13758,45.0
13028,68,PD13758,16.0
13029,69,PD13758,16.0
13030,70,PD13758,17.0
13031,71,PD13758,17.0
13032,72,PD13758,33.0
13033,73,PD13758,17.0
13034,74,PD13758,21.0
13035,75,PD13758,29.0
13036,76,PD13758,37.0
13037,77,PD13758,23.0
13038,78,PD13758,26.0
13039,79,PD13758,32.0
13040,80,PD13758,19.0
13041,81,PD13758,13.0
13042,82,PD13758,12.0
13043,83,PD13758,13.0
13044,84,PD13758,6.0
13045,85,PD13758,10.0
13046,86,PD13758,8.0
13047,87,PD13758,15.0
13048,88,PD13758,9.0
13049,89,PD13758,2.0
13050,90,PD13758,3.0
13051,91,PD13758,12.0
13052,92,PD13758,13.0
13053,93,PD13758,5.0
13054,94,PD13758,14.0
13055,95,PD13758,31.0
13056,0,PD13760,81.0
13057,1,PD13760,86.0
13058,2,PD13760,12.0
13059,3,PD13760,72.0
13060,4,PD13760,82.0
13061,5,PD13760,88.0
13062,6,PD13760,13.0
13063,7,PD13760,71.0
13064,8,PD13760,38.0
13065,9,PD13760,45.0
13066,10,PD13760,7.0
13067,11,PD13760,44.0
13068,12,PD13760,75.0
13069,13,PD13760,75.0
13070,14,PD13760,12.0
13071,15,PD13760,97.0
13072,16,PD13760,51.0
13073,17,PD13760,27.0
13074,18,PD13760,10.0
13075,19,PD13760,51.0
13076,20,PD13760,38.0
13077,21,PD13760,27.0
13078,22,PD13760,6.0
13079,23,PD13760,57.0
13080,24,PD13760,16.0
13081,25,PD13760,20.0
13082,26,PD13760,3.0
13083,27,PD13760,20.0
13084,28,PD13760,193.0
13085,29,PD13760,76.0
13086,30,PD13760,6.0
13087,31,PD13760,282.0
13088,32,PD13760,65.0
13089,33,PD13760,43.0
13090,34,PD13760,128.0
13091,35,PD13760,52.0
13092,36,PD13760,59.0
13093,37,PD13760,51.0
13094,38,PD13760,70.0
13095,39,PD13760,86.0
13096,40,PD13760,56.0
13097,41,PD13760,35.0
13098,42,PD13760,78.0
13099,43,PD13760,49.0
13100,44,PD13760,172.0
13101,45,PD13760,86.0
13102,46,PD13760,68.0
13103,47,PD13760,114.0
13104,48,PD13760,49.0
13105,49,PD13760,37.0
13106,50,PD13760,53.0
13107,51,PD13760,69.0
13108,52,PD13760,40.0
13109,53,PD13760,52.0
13110,54,PD13760,61.0
13111,55,PD13760,51.0
13112,56,PD13760,24.0
13113,57,PD13760,22.0
13114,58,PD13760,41.0
13115,59,PD13760,32.0
13116,60,PD13760,55.0
13117,61,PD13760,32.0
13118,62,PD13760,21.0
13119,63,PD13760,78.0
13120,64,PD13760,74.0
13121,65,PD13760,23.0
13122,66,PD13760,55.0
13123,67,PD13760,65.0
13124,68,PD13760,29.0
13125,69,PD13760,30.0
13126,70,PD13760,41.0
13127,71,PD13760,51.0
13128,72,PD13760,21.0
13129,73,PD13760,21.0
13130,74,PD13760,27.0
13131,75,PD13760,41.0
13132,76,PD13760,47.0
13133,77,PD13760,25.0
13134,78,PD13760,21.0
13135,79,PD13760,52.0
13136,80,PD13760,17.0
13137,81,PD13760,8.0
13138,82,PD13760,21.0
13139,83,PD13760,22.0
13140,84,PD13760,11.0
13141,85,PD13760,20.0
13142,86,PD13760,23.0
13143,87,PD13760,28.0
13144,88,PD13760,10.0
13145,89,PD13760,5.0
13146,90,PD13760,16.0
13147,91,PD13760,13.0
13148,92,PD13760,13.0
13149,93,PD13760,11.0
13150,94,PD13760,27.0
13151,95,PD13760,56.0
13152,0,PD13761,21.0
13153,1,PD13761,18.0
13154,2,PD13761,6.0
13155,3,PD13761,19.0
13156,4,PD13761,23.0
13157,5,PD13761,9.0
13158,6,PD13761,5.0
13159,7,PD13761,19.0
13160,8,PD13761,28.0
13161,9,PD13761,16.0
13162,10,PD13761,2.0
13163,11,PD13761,20.0
13164,12,PD13761,28.0
13165,13,PD13761,31.0
13166,14,PD13761,7.0
13167,15,PD13761,35.0
13168,16,PD13761,15.0
13169,17,PD13761,4.0
13170,18,PD13761,2.0
13171,19,PD13761,7.0
13172,20,PD13761,5.0
13173,21,PD13761,9.0
13174,22,PD13761,2.0
13175,23,PD13761,11.0
13176,24,PD13761,5.0
13177,25,PD13761,7.0
13178,26,PD13761,3.0
13179,27,PD13761,3.0
13180,28,PD13761,8.0
13181,29,PD13761,10.0
13182,30,PD13761,3.0
13183,31,PD13761,24.0
13184,32,PD13761,42.0
13185,33,PD13761,36.0
13186,34,PD13761,78.0
13187,35,PD13761,24.0
13188,36,PD13761,34.0
13189,37,PD13761,41.0
13190,38,PD13761,41.0
13191,39,PD13761,59.0
13192,40,PD13761,40.0
13193,41,PD13761,28.0
13194,42,PD13761,54.0
13195,43,PD13761,39.0
13196,44,PD13761,50.0
13197,45,PD13761,55.0
13198,46,PD13761,36.0
13199,47,PD13761,51.0
13200,48,PD13761,12.0
13201,49,PD13761,21.0
13202,50,PD13761,10.0
13203,51,PD13761,32.0
13204,52,PD13761,7.0
13205,53,PD13761,4.0
13206,54,PD13761,13.0
13207,55,PD13761,7.0
13208,56,PD13761,9.0
13209,57,PD13761,11.0
13210,58,PD13761,5.0
13211,59,PD13761,6.0
13212,60,PD13761,27.0
13213,61,PD13761,3.0
13214,62,PD13761,5.0
13215,63,PD13761,17.0
13216,64,PD13761,54.0
13217,65,PD13761,6.0
13218,66,PD13761,35.0
13219,67,PD13761,43.0
13220,68,PD13761,13.0
13221,69,PD13761,8.0
13222,70,PD13761,8.0
13223,71,PD13761,11.0
13224,72,PD13761,19.0
13225,73,PD13761,8.0
13226,74,PD13761,12.0
13227,75,PD13761,28.0
13228,76,PD13761,9.0
13229,77,PD13761,13.0
13230,78,PD13761,11.0
13231,79,PD13761,19.0
13232,80,PD13761,7.0
13233,81,PD13761,0.0
13234,82,PD13761,6.0
13235,83,PD13761,7.0
13236,84,PD13761,2.0
13237,85,PD13761,5.0
13238,86,PD13761,4.0
13239,87,PD13761,8.0
13240,88,PD13761,2.0
13241,89,PD13761,3.0
13242,90,PD13761,2.0
13243,91,PD13761,5.0
13244,92,PD13761,9.0
13245,93,PD13761,5.0
13246,94,PD13761,7.0
13247,95,PD13761,17.0
13248,0,PD13762,27.0
13249,1,PD13762,24.0
13250,2,PD13762,7.0
13251,3,PD13762,13.0
13252,4,PD13762,21.0
13253,5,PD13762,12.0
13254,6,PD13762,7.0
13255,7,PD13762,12.0
13256,8,PD13762,31.0
13257,9,PD13762,11.0
13258,10,PD13762,8.0
13259,11,PD13762,15.0
13260,12,PD13762,23.0
13261,13,PD13762,29.0
13262,14,PD13762,10.0
13263,15,PD13762,32.0
13264,16,PD13762,4.0
13265,17,PD13762,5.0
13266,18,PD13762,3.0
13267,19,PD13762,6.0
13268,20,PD13762,7.0
13269,21,PD13762,10.0
13270,22,PD13762,1.0
13271,23,PD13762,9.0
13272,24,PD13762,4.0
13273,25,PD13762,6.0
13274,26,PD13762,1.0
13275,27,PD13762,2.0
13276,28,PD13762,10.0
13277,29,PD13762,10.0
13278,30,PD13762,1.0
13279,31,PD13762,19.0
13280,32,PD13762,33.0
13281,33,PD13762,30.0
13282,34,PD13762,99.0
13283,35,PD13762,24.0
13284,36,PD13762,30.0
13285,37,PD13762,34.0
13286,38,PD13762,48.0
13287,39,PD13762,35.0
13288,40,PD13762,26.0
13289,41,PD13762,24.0
13290,42,PD13762,75.0
13291,43,PD13762,27.0
13292,44,PD13762,38.0
13293,45,PD13762,53.0
13294,46,PD13762,42.0
13295,47,PD13762,34.0
13296,48,PD13762,22.0
13297,49,PD13762,21.0
13298,50,PD13762,14.0
13299,51,PD13762,31.0
13300,52,PD13762,7.0
13301,53,PD13762,9.0
13302,54,PD13762,10.0
13303,55,PD13762,13.0
13304,56,PD13762,4.0
13305,57,PD13762,3.0
13306,58,PD13762,7.0
13307,59,PD13762,9.0
13308,60,PD13762,25.0
13309,61,PD13762,15.0
13310,62,PD13762,10.0
13311,63,PD13762,23.0
13312,64,PD13762,42.0
13313,65,PD13762,16.0
13314,66,PD13762,22.0
13315,67,PD13762,46.0
13316,68,PD13762,11.0
13317,69,PD13762,7.0
13318,70,PD13762,8.0
13319,71,PD13762,11.0
13320,72,PD13762,24.0
13321,73,PD13762,6.0
13322,74,PD13762,14.0
13323,75,PD13762,14.0
13324,76,PD13762,22.0
13325,77,PD13762,17.0
13326,78,PD13762,10.0
13327,79,PD13762,20.0
13328,80,PD13762,6.0
13329,81,PD13762,6.0
13330,82,PD13762,6.0
13331,83,PD13762,6.0
13332,84,PD13762,1.0
13333,85,PD13762,5.0
13334,86,PD13762,10.0
13335,87,PD13762,14.0
13336,88,PD13762,4.0
13337,89,PD13762,7.0
13338,90,PD13762,4.0
13339,91,PD13762,4.0
13340,92,PD13762,6.0
13341,93,PD13762,7.0
13342,94,PD13762,6.0
13343,95,PD13762,16.0
13344,0,PD13763,46.0
13345,1,PD13763,41.0
13346,2,PD13763,10.0
13347,3,PD13763,39.0
13348,4,PD13763,30.0
13349,5,PD13763,26.0
13350,6,PD13763,9.0
13351,7,PD13763,23.0
13352,8,PD13763,31.0
13353,9,PD13763,22.0
13354,10,PD13763,9.0
13355,11,PD13763,17.0
13356,12,PD13763,35.0
13357,13,PD13763,31.0
13358,14,PD13763,6.0
13359,15,PD13763,49.0
13360,16,PD13763,21.0
13361,17,PD13763,8.0
13362,18,PD13763,2.0
13363,19,PD13763,11.0
13364,20,PD13763,17.0
13365,21,PD13763,18.0
13366,22,PD13763,6.0
13367,23,PD13763,24.0
13368,24,PD13763,8.0
13369,25,PD13763,7.0
13370,26,PD13763,1.0
13371,27,PD13763,14.0
13372,28,PD13763,18.0
13373,29,PD13763,15.0
13374,30,PD13763,3.0
13375,31,PD13763,38.0
13376,32,PD13763,55.0
13377,33,PD13763,38.0
13378,34,PD13763,160.0
13379,35,PD13763,38.0
13380,36,PD13763,42.0
13381,37,PD13763,42.0
13382,38,PD13763,100.0
13383,39,PD13763,39.0
13384,40,PD13763,34.0
13385,41,PD13763,36.0
13386,42,PD13763,114.0
13387,43,PD13763,30.0
13388,44,PD13763,87.0
13389,45,PD13763,54.0
13390,46,PD13763,65.0
13391,47,PD13763,66.0
13392,48,PD13763,29.0
13393,49,PD13763,32.0
13394,50,PD13763,27.0
13395,51,PD13763,39.0
13396,52,PD13763,11.0
13397,53,PD13763,24.0
13398,54,PD13763,15.0
13399,55,PD13763,33.0
13400,56,PD13763,6.0
13401,57,PD13763,8.0
13402,58,PD13763,8.0
13403,59,PD13763,15.0
13404,60,PD13763,45.0
13405,61,PD13763,18.0
13406,62,PD13763,13.0
13407,63,PD13763,39.0
13408,64,PD13763,66.0
13409,65,PD13763,16.0
13410,66,PD13763,36.0
13411,67,PD13763,41.0
13412,68,PD13763,22.0
13413,69,PD13763,21.0
13414,70,PD13763,14.0
13415,71,PD13763,23.0
13416,72,PD13763,22.0
13417,73,PD13763,16.0
13418,74,PD13763,16.0
13419,75,PD13763,23.0
13420,76,PD13763,29.0
13421,77,PD13763,19.0
13422,78,PD13763,17.0
13423,79,PD13763,34.0
13424,80,PD13763,12.0
13425,81,PD13763,8.0
13426,82,PD13763,7.0
13427,83,PD13763,10.0
13428,84,PD13763,5.0
13429,85,PD13763,10.0
13430,86,PD13763,4.0
13431,87,PD13763,24.0
13432,88,PD13763,6.0
13433,89,PD13763,2.0
13434,90,PD13763,5.0
13435,91,PD13763,6.0
13436,92,PD13763,5.0
13437,93,PD13763,10.0
13438,94,PD13763,16.0
13439,95,PD13763,21.0
13440,0,PD13764,100.0
13441,1,PD13764,65.0
13442,2,PD13764,11.0
13443,3,PD13764,53.0
13444,4,PD13764,67.0
13445,5,PD13764,56.0
13446,6,PD13764,8.0
13447,7,PD13764,53.0
13448,8,PD13764,66.0
13449,9,PD13764,32.0
13450,10,PD13764,7.0
13451,11,PD13764,48.0
13452,12,PD13764,76.0
13453,13,PD13764,70.0
13454,14,PD13764,15.0
13455,15,PD13764,112.0
13456,16,PD13764,51.0
13457,17,PD13764,33.0
13458,18,PD13764,10.0
13459,19,PD13764,43.0
13460,20,PD13764,33.0
13461,21,PD13764,28.0
13462,22,PD13764,15.0
13463,23,PD13764,44.0
13464,24,PD13764,19.0
13465,25,PD13764,19.0
13466,26,PD13764,3.0
13467,27,PD13764,24.0
13468,28,PD13764,129.0
13469,29,PD13764,60.0
13470,30,PD13764,5.0
13471,31,PD13764,184.0
13472,32,PD13764,72.0
13473,33,PD13764,58.0
13474,34,PD13764,160.0
13475,35,PD13764,46.0
13476,36,PD13764,71.0
13477,37,PD13764,59.0
13478,38,PD13764,110.0
13479,39,PD13764,73.0
13480,40,PD13764,54.0
13481,41,PD13764,63.0
13482,42,PD13764,138.0
13483,43,PD13764,51.0
13484,44,PD13764,190.0
13485,45,PD13764,97.0
13486,46,PD13764,74.0
13487,47,PD13764,112.0
13488,48,PD13764,57.0
13489,49,PD13764,37.0
13490,50,PD13764,51.0
13491,51,PD13764,79.0
13492,52,PD13764,35.0
13493,53,PD13764,30.0
13494,54,PD13764,35.0
13495,55,PD13764,48.0
13496,56,PD13764,26.0
13497,57,PD13764,18.0
13498,58,PD13764,17.0
13499,59,PD13764,33.0
13500,60,PD13764,100.0
13501,61,PD13764,33.0
13502,62,PD13764,18.0
13503,63,PD13764,63.0
13504,64,PD13764,103.0
13505,65,PD13764,32.0
13506,66,PD13764,39.0
13507,67,PD13764,93.0
13508,68,PD13764,46.0
13509,69,PD13764,38.0
13510,70,PD13764,39.0
