,ind,variable,value
182,86,PD10011,55.0
183,87,PD10011,188.0
184,88,PD10011,56.0
185,89,PD10011,46.0
186,90,PD10011,35.0
187,91,PD10011,99.0
188,92,PD10011,68.0
189,93,PD10011,90.0
190,94,PD10011,140.0
191,95,PD10011,251.0
192,0,PD10014,235.0
193,1,PD10014,241.0
194,2,PD10014,37.0
195,3,PD10014,234.0
196,4,PD10014,244.0
197,5,PD10014,238.0
198,6,PD10014,35.0
199,7,PD10014,243.0
200,8,PD10014,146.0
201,9,PD10014,126.0
202,10,PD10014,24.0
203,11,PD10014,160.0
204,12,PD10014,202.0
205,13,PD10014,191.0
206,14,PD10014,17.0
207,15,PD10014,253.0
208,16,PD10014,158.0
209,17,PD10014,71.0
210,18,PD10014,26.0
211,19,PD10014,180.0
212,20,PD10014,107.0
213,21,PD10014,105.0
214,22,PD10014,40.0
215,23,PD10014,144.0
216,24,PD10014,63.0
217,25,PD10014,70.0
218,26,PD10014,25.0
219,27,PD10014,120.0
220,28,PD10014,198.0
221,29,PD10014,159.0
222,30,PD10014,33.0
223,31,PD10014,325.0
224,32,PD10014,229.0
225,33,PD10014,89.0
226,34,PD10014,178.0
227,35,PD10014,186.0
228,36,PD10014,136.0
229,37,PD10014,124.0
230,38,PD10014,144.0
231,39,PD10014,197.0
232,40,PD10014,141.0
233,41,PD10014,99.0
234,42,PD10014,180.0
235,43,PD10014,163.0
236,44,PD10014,188.0
237,45,PD10014,153.0
238,46,PD10014,93.0
239,47,PD10014,184.0
240,48,PD10014,105.0
241,49,PD10014,90.0
242,50,PD10014,126.0
243,51,PD10014,174.0
244,52,PD10014,116.0
245,53,PD10014,139.0
246,54,PD10014,145.0
247,55,PD10014,217.0
248,56,PD10014,62.0
249,57,PD10014,66.0
250,58,PD10014,83.0
251,59,PD10014,126.0
252,60,PD10014,124.0
253,61,PD10014,89.0
254,62,PD10014,73.0
255,63,PD10014,221.0
256,64,PD10014,261.0
257,65,PD10014,122.0
258,66,PD10014,167.0
259,67,PD10014,211.0
260,68,PD10014,103.0
261,69,PD10014,144.0
262,70,PD10014,112.0
263,71,PD10014,129.0
264,72,PD10014,110.0
265,73,PD10014,81.0
266,74,PD10014,102.0
267,75,PD10014,135.0
268,76,PD10014,143.0
269,77,PD10014,118.0
270,78,PD10014,75.0
271,79,PD10014,148.0
272,80,PD10014,76.0
273,81,PD10014,27.0
274,82,PD10014,84.0
275,83,PD10014,59.0
276,84,PD10014,47.0
277,85,PD10014,54.0
278,86,PD10014,70.0
279,87,PD10014,107.0
280,88,PD10014,32.0
281,89,PD10014,18.0
282,90,PD10014,61.0
283,91,PD10014,78.0
284,92,PD10014,71.0
285,93,PD10014,54.0
286,94,PD10014,76.0
287,95,PD10014,160.0
288,0,PD11326,163.0
289,1,PD11326,169.0
290,2,PD11326,24.0
291,3,PD11326,186.0
292,4,PD11326,184.0
293,5,PD11326,197.0
294,6,PD11326,29.0
295,7,PD11326,160.0
296,8,PD11326,123.0
297,9,PD11326,92.0
298,10,PD11326,13.0
299,11,PD11326,106.0
300,12,PD11326,181.0
301,13,PD11326,157.0
302,14,PD11326,12.0
303,15,PD11326,175.0
304,16,PD11326,126.0
305,17,PD11326,81.0
306,18,PD11326,28.0
307,19,PD11326,159.0
308,20,PD11326,96.0
309,21,PD11326,77.0
310,22,PD11326,35.0
311,23,PD11326,138.0
312,24,PD11326,55.0
313,25,PD11326,46.0
314,26,PD11326,15.0
315,27,PD11326,87.0
316,28,PD11326,321.0
317,29,PD11326,134.0
318,30,PD11326,28.0
319,31,PD11326,438.0
320,32,PD11326,158.0
321,33,PD11326,79.0
322,34,PD11326,164.0
323,35,PD11326,168.0
324,36,PD11326,115.0
325,37,PD11326,86.0
326,38,PD11326,102.0
327,39,PD11326,168.0
328,40,PD11326,95.0
329,41,PD11326,84.0
330,42,PD11326,108.0
331,43,PD11326,88.0
332,44,PD11326,267.0
333,45,PD11326,135.0
334,46,PD11326,67.0
335,47,PD11326,184.0
336,48,PD11326,72.0
337,49,PD11326,56.0
338,50,PD11326,80.0
339,51,PD11326,127.0
340,52,PD11326,86.0
341,53,PD11326,116.0
342,54,PD11326,119.0
343,55,PD11326,160.0
344,56,PD11326,62.0
345,57,PD11326,56.0
346,58,PD11326,59.0
347,59,PD11326,119.0
