"","1","2","3","4","5","6","7","8","9","10","11","12","13","14"
"PD11368",0.0266896523075645,0.0477713621069248,0.102438416483197,0.0489344909234412,0.0394840692892452,0.232418061728908,0.0697254185186724,0.0598388235782827,0.0246541768786607,0.0902255639097744,0.0598388235782827,0.0357039006355668,0.110144144892618,0.0521330951688614
"PD11369",0.0211143965995195,0.0435917575309555,0.136250231010904,0.0738310848272038,0.0709203474403992,0.121858251709481,0.0613795971169839,0.0500600628349658,0.0461790796525596,0.117330437996673,0.0767418222140085,0.0343744224727407,0.0856357420070227,0.0607327665865829
"PD11370",0.0252606686015264,0.113296785983016,0.102010104267441,0.165215521874664,0.0342900139739869,0.0252606686015264,0.0147264323336558,0.0335375685262818,0.123078576803182,0.0809416317316995,0.109534558744491,0.0613780500913684,0.0613780500913684,0.0500913683757928
"PD11372",0.00762634028544597,0.0188233351564999,0.0336322638569261,0.011527228821168,0.158460697000031,0.266024086438736,0.383989845306034,0.0177397550076883,0.00748186293227108,0.0138388664719662,0.0232298944283341,0.0181731870672129,0.0240967585473834,0.0153558786803026
"PD11374",0.0273618695320298,0.0861370442134931,0.128471610592449,0.0943573483647466,0.0413363865891609,0.0355821736832834,0.022018671833715,0.0955903939874347,0.0310610064000939,0.100522576478187,0.140802066819329,0.114908108742881,0.0553109036462921,0.0265398391169045
"PD11375",0.0194412442396313,0.0779089861751152,0.199884792626728,0.0985743087557604,0.0194412442396313,0.0360743087557604,0.00936059907834101,0.0769009216589862,0.0189372119815668,0.0960541474654378,0.0910138248847926,0.0688364055299539,0.142929147465438,0.0446428571428571
"PD11376",0.0157937003658428,0.0607655929329883,0.156330864638173,0.092308378691889,0.0342196841259927,0.06857321317034,0.0117337378424199,0.0488980101722138,0.0151690907468546,0.0729454805032569,0.109485143214063,0.0648255554564112,0.132908003926118,0.116043544213438
"PD11379",0.00692524848556137,0.0116597071105099,0.0115053225901312,0.0197391636769982,0.116023642886549,0.286824383932247,0.361031876727636,0.0326045403752279,0.0396033052990649,0.0164970887490443,0.0193789331294477,0.0115567840969241,0.0401179203669941,0.0265320825736635
"PD11380",0.0345023207839092,0.0604951005673027,0.120061887570913,0.10959257349149,0.0391954615781331,0.0940691077875193,0.0186178442496132,0.0446106240330067,0.0586900464156782,0.0911810211449201,0.128726147498711,0.0377514182568334,0.0745745229499742,0.0879319236719959
"PD11381",0.0179652671501763,0.0976112848492914,0.0827067669172932,0.14558520194291,0.0356643821944241,0.0566238605362965,0.0100472419988023,0.0542950296094218,0.0547607957947967,0.10972120566904,0.143722137201411,0.0556923281655466,0.084569831658793,0.0510346663117972
