"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15"
"PD11347",0.0866570559026109,0.0371616210155374,0.0722409098189973,0.04340861765177,0.0251481659458594,0.0328367771904533,0.047252923274067,0.121255806503284,0.0885792087137594,0.113086657055903,0.150088098670511,0.0419670030434086,0.0477334614768541,0.0241870895402851,0.0683966041967003
"PD11348",0.0405797101449275,0.0949275362318841,0.036231884057971,0.0488801054018445,0.0518445322793149,0.142555994729908,0.0546113306982872,0.0662714097496706,0.181884057971015,0.0480895915678524,0.0401844532279315,0.0223978919631094,0.0550065876152833,0.0320816864295125,0.0844532279314888
"PD11349",0.0204471707338756,0.0945903898297551,0.0736542650131129,0.0696537316086589,0.0609859092323421,0.0581855358492243,0.0609859092323421,0.0780548517580122,0.0739209672400765,0.100591189936436,0.12459439036316,0.0817886829355025,0.032715473174201,0.0220473840956572,0.0477841489976441
"PD11352",0.123419322205362,0.0551340414769853,0.0217501264542236,0.0494436014162873,0.0373039959534648,0.0448912493677289,0.0661355589276682,0.113555892766818,0.101795649974709,0.018715225088518,0.151492159838139,0.0115073343449671,0.0888973191704603,0.0179564997470916,0.0980020232675771
"PD11355",0.0637358757062147,0.0769774011299435,0.0181850282485876,0.0610875706214689,0.0314265536723164,0.231638418079096,0.0589689265536723,0.0727401129943503,0.124117231638418,0.0256002824858757,0.0430790960451977,0.0123587570621469,0.0632062146892655,0.0187146892655367,0.0981638418079096
"PD11357",0.0534655390298435,0.0654223777583358,0.0231359968892777,0.0715466122290269,0.0286769709341888,0.0791289977641684,0.0461747837075921,0.0730047632934772,0.177116749295227,0.098376591814912,0.0365509866822203,0.0126373092252357,0.0779624769126081,0.0289686011470788,0.127831243316808
"PD11358",0.0286345289772295,0.0265783260985454,0.00693016525778692,0.0382301424110883,0.0359454725458838,0.0519381616023151,0.0475972888584266,0.091691417256873,0.1053994364481,0.0491965577640698,0.301652577869165,0.0459980199527835,0.0389155433706496,0.0192673825298911,0.112024979057193
"PD11359",0.0634511536573392,0.0660284732449681,0.0406234658811978,0.0365733922434953,0.0376779577810506,0.0906971035837015,0.0748649975454099,0.0759695630829652,0.133038782523319,0.0925380461462936,0.0612420225822288,0.0181639666175749,0.0800196367206677,0.0284732449680903,0.100638193421699
"PD11360",0.110654874710465,0.0376921457148873,0.0203200673826069,0.0992840598020636,0.0591703516529796,0.111286586649821,0.0623289113497578,0.0658033270162139,0.134028216466625,0.0695935986523479,0.0443251210781217,0.0225310591703517,0.0563276479258791,0.0181090755948621,0.0885449568330175
"PD11361",0.0955066741868772,0.0639217898101147,0.0334649370182365,0.0802782477909381,0.0300808422635834,0.0893025004700132,0.056025568715924,0.0548975371310397,0.178416995675879,0.0611017108479037,0.0656138371874413,0.00808422635833803,0.0312088738484678,0.0261327317164881,0.125963526978755
